Image Name	Current Image Index	Crack Length	Number of Cycles
000.JPG	0.0	-3.793541665493105	0.0
0.0	0.0	0.0	0.0
002-AISI_P1_initiation.jpg	2.0	-4.651501182136933	0.0
003-AISI_P1_20000-at-5_5kN.jpg	3.0	-4.250696205256474	20000.0
004-AISI_P1_20000-at-4_5kN.jpg	4.0	-4.370146307422309	20000.0
005-AISI_P1_50000-at-4_5kN.jpg	5.0	-4.65589666080431	50000.0
006-AISI_P1_80000-at-4_5kN.jpg	6.0	-4.773735632776464	80000.0
007-AISI_P1_120000-at-4_5kN.jpg	7.0	-4.9827970953256955	120000.0
008.jpg	0.0	-5.254857629850555	150000.0
009-AISI_P1_200000-at-4_5kN.jpg	9.0	-5.119612016902182	200000.0
010.jpg	1.0	-5.794701896313536	250000.0
011.jpg	2.0	-6.155252137531329	300000.0
012.jpg	3.0	-6.734459606433223	350000.0
013.jpg	4.0	-7.38274441067069	410000.0
014.jpg	0.0	-8.147386403673828	0.0
015.jpg	1.0	-9.041696491776518	500000.0
016.jpg	2.0	-9.854238524411935	530000.0
017.jpg	3.0	-10.049247035202363	540000.0
018.jpg	4.0	-10.322364850815944	550000.0
019.jpg	5.0	-10.894499434416494	570000.0
020.jpg	6.0	-11.251763719068224	580000.0
021.jpg	7.0	-11.721827832548028	590000.0
022.jpg	8.0	-12.254354834391393	600000.0
023.jpg	9.0	-12.543732040500435	605000.0
024.jpg	0.0	-13.012201152678928	610000.0
025.jpg	1.0	-13.467412418527873	615000.0
026.jpg	2.0	-13.979180448727995	620000.0
027.jpg	3.0	-14.603701189284623	625000.0
028.jpg	4.0	-15.78478065583193	630000.0
029.jpg	5.0	-18.617201625371052	634145.0
