Image Name	Current Image Index	Crack Length	Number of Cycles
0-pins.jpg	0.0	3.0109919951843533	0.0
004.jpg	0.0	4.872240372513291	50000.0
005.jpg	2.0	5.255213535119834	110000.0
006.jpg	3.0	5.356155928078479	150000.0
007.jpg	4.0	5.797427450895088	200000.0
008.jpg	5.0	6.463848457630403	250000.0
009.jpg	6.0	6.919100382762203	300000.0
010.jpg	7.0	7.6743847935869836	350000.0
011.jpg	0.0	8.414567530888332	400000.0
012.jpg	1.0	8.589663622188153	410000.0
013.jpg	2.0	8.786613835920907	420000.0
014.jpg	3.0	8.97251524921124	430000.0
015.jpg	4.0	9.215973816897765	440000.0
016.jpg	5.0	9.515611697349776	450000.0
017.jpg	6.0	9.683634499423718	460000.0
018.jpg	0.0	9.825308073323157	470000.0
019.jpg	1.0	10.013320538946255	480000.0
020.jpg	2.0	10.19629505184942	490000.0
021.jpg	3.0	10.42240434581733	500000.0
022.jpg	4.0	10.538652156140143	507000.0
023.jpg	5.0	10.676076099007062	510000.0
024.jpg	6.0	10.992991193532335	520000.0
025.jpg	7.0	11.837141067223671	540000.0
026.jpg	8.0	12.861116016317217	560000.0
027.jpg	9.0	13.485538974336954	570000.0
028.jpg	0.0	14.231323174218875	580000.0
029.jpg	1.0	15.289248432773817	590000.0
030.jpg	2.0	17.1366014781514	600000.0
031.jpg	3.0	19.6669088886946	605000.0
