Image Name	Current Image Index	Crack Length	Number of Cycles
0000-pins.jpg	1.0	-3.4594798781216665	0.0
000.jpg	0.0	-4.399775978113455	96801.0
001.jpg	2.0	-4.517163106181807	116801.0
002.jpg	3.0	-5.009694323364934	136801.0
003.jpg	4.0	-5.416569925157135	156801.0
004.jpg	0.0	-5.75704003745975	176801.0
005.jpg	1.0	-6.088921196482491	196801.0
006.jpg	2.0	-6.366905444083174	216801.0
007.jpg	3.0	-6.367080992449199	216801.0
008.jpg	4.0	-6.6678252650082	236801.0
009.jpg	5.0	-7.053269291802652	256801.0
010.jpg	6.0	-7.412793762126335	276801.0
011.jpg	7.0	-8.07014809275202	296801.0
012.jpg	8.0	-8.700304692518271	316801.0
013.jpg	9.0	-9.631954097048798	336801.0
014.jpg	10.0	-11.103653747211911	356801.0
015.jpg	0.0	-11.717305847318608	361801.0
016.jpg	1.0	-12.304059403665889	366801.0
017.jpg	2.0	-12.939370939232486	371801.0
018.jpg	3.0	-13.669694945507146	376801.0
019.jpg	4.0	-14.492383771085585	381801.0
020.jpg	5.0	-15.794641548224943	387962.0
021.jpg	6.0	-16.87718099926341	391801.0
022.jpg	7.0	-17.178531154547578	392801.0
